# file...... solar_collector_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# group..... class=inverter AND groupid=solar_inverters
# trigger... (none)
# interval.. 10
# limit..... 0
# property.. timestamp,sum(power_A.real),sum(power_B.real),sum(power_C.real)
2016-01-01 01:02:40 PST,+0,+0,+0
2016-01-01 01:02:50 PST,+0,+0,+0
2016-01-01 01:03:00 PST,+0,+0,+0
2016-01-01 01:03:10 PST,+0,+0,+0
2016-01-01 01:03:20 PST,+0,+0,+0
2016-01-01 01:03:30 PST,+0,+0,+0
2016-01-01 01:03:40 PST,+0,+0,+0
2016-01-01 01:03:50 PST,+0,+0,+0
2016-01-01 01:04:00 PST,+0,+0,+0
2016-01-01 01:04:10 PST,+0,+0,+0
2016-01-01 01:04:20 PST,+0,+0,+0
2016-01-01 01:04:30 PST,+0,+0,+0
2016-01-01 01:04:40 PST,+0,+0,+0
2016-01-01 01:04:50 PST,+0,+0,+0
2016-01-01 01:05:00 PST,+0,+0,+0
2016-01-01 01:05:10 PST,+0,+0,+0
2016-01-01 01:05:20 PST,+0,+0,+0
2016-01-01 01:05:30 PST,+0,+0,+0
2016-01-01 01:05:40 PST,+0,+0,+0
2016-01-01 01:05:50 PST,+0,+0,+0
2016-01-01 01:06:00 PST,+0,+0,+0
2016-01-01 01:06:10 PST,+0,+0,+0
2016-01-01 01:06:20 PST,+0,+0,+0
2016-01-01 01:06:30 PST,+0,+0,+0
2016-01-01 01:06:40 PST,+0,+0,+0
2016-01-01 01:06:50 PST,+0,+0,+0
2016-01-01 01:07:00 PST,+0,+0,+0
2016-01-01 01:07:10 PST,+0,+0,+0
2016-01-01 01:07:20 PST,+0,+0,+0
2016-01-01 01:07:30 PST,+0,+0,+0
2016-01-01 01:07:40 PST,+0,+0,+0
2016-01-01 01:07:50 PST,+0,+0,+0
2016-01-01 01:08:00 PST,+0,+0,+0
2016-01-01 01:08:10 PST,+0,+0,+0
2016-01-01 01:08:20 PST,+0,+0,+0
2016-01-01 01:08:30 PST,+0,+0,+0
2016-01-01 01:08:40 PST,+0,+0,+0
2016-01-01 01:08:50 PST,+0,+0,+0
2016-01-01 01:09:00 PST,+0,+0,+0
2016-01-01 01:09:10 PST,+0,+0,+0
2016-01-01 01:09:20 PST,+0,+0,+0
2016-01-01 01:09:30 PST,+0,+0,+0
2016-01-01 01:09:40 PST,+0,+0,+0
2016-01-01 01:09:50 PST,+0,+0,+0
2016-01-01 01:10:00 PST,+0,+0,+0
2016-01-01 01:10:10 PST,+0,+0,+0
2016-01-01 01:10:20 PST,+0,+0,+0
2016-01-01 01:10:30 PST,+0,+0,+0
2016-01-01 01:10:40 PST,+0,+0,+0
2016-01-01 01:10:50 PST,+0,+0,+0
2016-01-01 01:11:00 PST,+0,+0,+0
2016-01-01 01:11:10 PST,+0,+0,+0
2016-01-01 01:11:20 PST,+0,+0,+0
2016-01-01 01:11:30 PST,+0,+0,+0
2016-01-01 01:11:40 PST,+0,+0,+0
2016-01-01 01:11:50 PST,+0,+0,+0
2016-01-01 01:12:00 PST,+0,+0,+0
2016-01-01 01:12:10 PST,+0,+0,+0
2016-01-01 01:12:20 PST,+0,+0,+0
2016-01-01 01:12:30 PST,+0,+0,+0
2016-01-01 01:12:40 PST,+0,+0,+0
2016-01-01 01:12:50 PST,+0,+0,+0
2016-01-01 01:13:00 PST,+0,+0,+0
2016-01-01 01:13:10 PST,+0,+0,+0
2016-01-01 01:13:20 PST,+0,+0,+0
2016-01-01 01:13:30 PST,+0,+0,+0
2016-01-01 01:13:40 PST,+0,+0,+0
2016-01-01 01:13:50 PST,+0,+0,+0
2016-01-01 01:14:00 PST,+0,+0,+0
2016-01-01 01:14:10 PST,+0,+0,+0
2016-01-01 01:14:20 PST,+0,+0,+0
2016-01-01 01:14:30 PST,+0,+0,+0
2016-01-01 01:14:40 PST,+0,+0,+0
2016-01-01 01:14:50 PST,+0,+0,+0
